CPU,Time,GHz
0,2024-03-07 14:51:07.223479,0.004
1,2024-03-07 14:51:07.223484,0.005
2,2024-03-07 14:51:07.223485,0.001
3,2024-03-07 14:51:07.223486,0.001
4,2024-03-07 14:51:07.223488,0.002
5,2024-03-07 14:51:07.223489,0.002
6,2024-03-07 14:51:07.223490,0.001
7,2024-03-07 14:51:07.223491,0.001
8,2024-03-07 14:51:07.223492,0.001
9,2024-03-07 14:51:07.223494,0.001
10,2024-03-07 14:51:07.223495,0.002
11,2024-03-07 14:51:07.223496,0.001
12,2024-03-07 14:51:07.223500,0.002
13,2024-03-07 14:51:07.223501,0.001
14,2024-03-07 14:51:07.223502,0.001
15,2024-03-07 14:51:07.223503,0.001
16,2024-03-07 14:51:07.223504,0.001
17,2024-03-07 14:51:07.223506,0.001
18,2024-03-07 14:51:07.223508,0.001
19,2024-03-07 14:51:07.223509,0.001
20,2024-03-07 14:51:07.223510,0.004
21,2024-03-07 14:51:07.223511,0.001
22,2024-03-07 14:51:07.223512,0.001
23,2024-03-07 14:51:07.223512,0.001
24,2024-03-07 14:51:07.223513,0.002
25,2024-03-07 14:51:07.223515,0.001
26,2024-03-07 14:51:07.223516,0.001
27,2024-03-07 14:51:07.223518,0.001
28,2024-03-07 14:51:07.223519,0.001
29,2024-03-07 14:51:07.223520,0.001
30,2024-03-07 14:51:07.223520,0.001
31,2024-03-07 14:51:07.223521,0.001
32,2024-03-07 14:51:07.223522,0.001
33,2024-03-07 14:51:07.223524,0.001
34,2024-03-07 14:51:07.223524,0.001
35,2024-03-07 14:51:07.223525,0.001
36,2024-03-07 14:51:07.223526,0.001
37,2024-03-07 14:51:07.223527,0.001
38,2024-03-07 14:51:07.223528,0.001
39,2024-03-07 14:51:07.223529,0.001
40,2024-03-07 14:51:07.223530,0.001
41,2024-03-07 14:51:07.223530,0.001
42,2024-03-07 14:51:07.223531,0.001
43,2024-03-07 14:51:07.223532,0.001
44,2024-03-07 14:51:07.223533,0.001
45,2024-03-07 14:51:07.223534,0.001
46,2024-03-07 14:51:07.223535,0.001
47,2024-03-07 14:51:07.223535,0.001
48,2024-03-07 14:51:07.223537,0.002
49,2024-03-07 14:51:07.223538,0.001
50,2024-03-07 14:51:07.223539,0.003
51,2024-03-07 14:51:07.223540,0.004
52,2024-03-07 14:51:07.223541,0.000
53,2024-03-07 14:51:07.223542,0.001
54,2024-03-07 14:51:07.223543,0.003
55,2024-03-07 14:51:07.223543,0.002
56,2024-03-07 14:51:07.223544,0.002
57,2024-03-07 14:51:07.223545,0.003
58,2024-03-07 14:51:07.223546,0.003
59,2024-03-07 14:51:07.223547,0.002
60,2024-03-07 14:51:07.223547,0.002
61,2024-03-07 14:51:07.223548,0.002
62,2024-03-07 14:51:07.223549,0.002
63,2024-03-07 14:51:07.223550,0.002
64,2024-03-07 14:51:07.223551,0.003
65,2024-03-07 14:51:07.223552,0.002
66,2024-03-07 14:51:07.223553,0.002
67,2024-03-07 14:51:07.223554,0.003
68,2024-03-07 14:51:07.223555,0.000
69,2024-03-07 14:51:07.223557,0.003
70,2024-03-07 14:51:07.223558,0.002
71,2024-03-07 14:51:07.223559,0.003
72,2024-03-07 14:51:07.223560,0.003
73,2024-03-07 14:51:07.223560,0.002
74,2024-03-07 14:51:07.223561,0.002
75,2024-03-07 14:51:07.223562,0.002
76,2024-03-07 14:51:07.223563,0.002
77,2024-03-07 14:51:07.223564,0.002
78,2024-03-07 14:51:07.223565,0.000
79,2024-03-07 14:51:07.223566,0.000
80,2024-03-07 14:51:07.223567,0.000
81,2024-03-07 14:51:07.223567,0.002
82,2024-03-07 14:51:07.223568,0.000
83,2024-03-07 14:51:07.223569,0.001
84,2024-03-07 14:51:07.223570,0.000
85,2024-03-07 14:51:07.223571,0.000
86,2024-03-07 14:51:07.223573,0.001
87,2024-03-07 14:51:07.223574,0.000
88,2024-03-07 14:51:07.223575,0.000
89,2024-03-07 14:51:07.223576,0.002
90,2024-03-07 14:51:07.223578,0.000
91,2024-03-07 14:51:07.223579,0.000
92,2024-03-07 14:51:07.223582,0.000
93,2024-03-07 14:51:07.223583,0.000
94,2024-03-07 14:51:07.223584,0.000
95,2024-03-07 14:51:07.223585,0.001
0,2024-03-07 14:51:07.766413,0.001
1,2024-03-07 14:51:07.766417,0.003
2,2024-03-07 14:51:07.766418,0.001
3,2024-03-07 14:51:07.766420,0.001
4,2024-03-07 14:51:07.766420,0.001
5,2024-03-07 14:51:07.766421,0.001
6,2024-03-07 14:51:07.766422,0.001
7,2024-03-07 14:51:07.766423,0.001
8,2024-03-07 14:51:07.766424,0.000
9,2024-03-07 14:51:07.766425,0.001
10,2024-03-07 14:51:07.766426,0.001
11,2024-03-07 14:51:07.766427,0.001
12,2024-03-07 14:51:07.766430,0.001
13,2024-03-07 14:51:07.766431,0.001
14,2024-03-07 14:51:07.766432,0.001
15,2024-03-07 14:51:07.766435,0.001
16,2024-03-07 14:51:07.766436,0.000
17,2024-03-07 14:51:07.766437,0.001
18,2024-03-07 14:51:07.766437,0.001
19,2024-03-07 14:51:07.766438,0.001
20,2024-03-07 14:51:07.766439,0.003
21,2024-03-07 14:51:07.766440,0.001
22,2024-03-07 14:51:07.766441,0.001
23,2024-03-07 14:51:07.766442,0.001
24,2024-03-07 14:51:07.766442,0.001
25,2024-03-07 14:51:07.766443,0.001
26,2024-03-07 14:51:07.766444,0.001
27,2024-03-07 14:51:07.766445,0.001
28,2024-03-07 14:51:07.766446,0.001
29,2024-03-07 14:51:07.766447,0.001
30,2024-03-07 14:51:07.766447,0.001
31,2024-03-07 14:51:07.766450,0.001
32,2024-03-07 14:51:07.766451,0.001
33,2024-03-07 14:51:07.766452,0.001
34,2024-03-07 14:51:07.766453,0.001
35,2024-03-07 14:51:07.766453,0.001
36,2024-03-07 14:51:07.766456,0.001
37,2024-03-07 14:51:07.766457,0.001
38,2024-03-07 14:51:07.766457,0.001
39,2024-03-07 14:51:07.766458,0.001
40,2024-03-07 14:51:07.766459,0.002
41,2024-03-07 14:51:07.766460,0.002
42,2024-03-07 14:51:07.766461,0.000
43,2024-03-07 14:51:07.766462,0.001
44,2024-03-07 14:51:07.766462,0.001
45,2024-03-07 14:51:07.766463,0.001
46,2024-03-07 14:51:07.766464,0.001
47,2024-03-07 14:51:07.766465,0.001
48,2024-03-07 14:51:07.766466,0.001
49,2024-03-07 14:51:07.766467,0.001
50,2024-03-07 14:51:07.766467,0.003
51,2024-03-07 14:51:07.766468,0.003
52,2024-03-07 14:51:07.766469,0.000
53,2024-03-07 14:51:07.766470,0.000
54,2024-03-07 14:51:07.766471,0.000
55,2024-03-07 14:51:07.766471,0.000
56,2024-03-07 14:51:07.766472,0.002
57,2024-03-07 14:51:07.766474,0.000
58,2024-03-07 14:51:07.766475,0.000
59,2024-03-07 14:51:07.766476,0.000
60,2024-03-07 14:51:07.766477,0.000
61,2024-03-07 14:51:07.766478,0.000
62,2024-03-07 14:51:07.766478,0.000
63,2024-03-07 14:51:07.766479,0.000
64,2024-03-07 14:51:07.766480,0.000
65,2024-03-07 14:51:07.766481,0.000
66,2024-03-07 14:51:07.766482,0.000
67,2024-03-07 14:51:07.766483,0.000
68,2024-03-07 14:51:07.766483,0.001
69,2024-03-07 14:51:07.766484,0.000
70,2024-03-07 14:51:07.766485,0.000
71,2024-03-07 14:51:07.766486,0.001
72,2024-03-07 14:51:07.766487,0.000
73,2024-03-07 14:51:07.766488,0.000
74,2024-03-07 14:51:07.766490,0.001
75,2024-03-07 14:51:07.766490,0.000
76,2024-03-07 14:51:07.766491,0.000
77,2024-03-07 14:51:07.766492,0.000
78,2024-03-07 14:51:07.766494,0.000
79,2024-03-07 14:51:07.766495,0.000
80,2024-03-07 14:51:07.766496,0.000
81,2024-03-07 14:51:07.766497,0.000
82,2024-03-07 14:51:07.766497,0.000
83,2024-03-07 14:51:07.766498,0.001
84,2024-03-07 14:51:07.766499,0.000
85,2024-03-07 14:51:07.766500,0.000
86,2024-03-07 14:51:07.766501,0.000
87,2024-03-07 14:51:07.766502,0.000
88,2024-03-07 14:51:07.766502,0.001
89,2024-03-07 14:51:07.766503,0.000
90,2024-03-07 14:51:07.766504,0.000
91,2024-03-07 14:51:07.766505,0.000
92,2024-03-07 14:51:07.766508,0.000
93,2024-03-07 14:51:07.766509,0.001
94,2024-03-07 14:51:07.766510,0.000
95,2024-03-07 14:51:07.766511,0.001
0,2024-03-07 14:51:08.307540,0.003
1,2024-03-07 14:51:08.307545,0.003
2,2024-03-07 14:51:08.307546,0.001
3,2024-03-07 14:51:08.307547,0.001
4,2024-03-07 14:51:08.307548,0.000
5,2024-03-07 14:51:08.307549,0.002
6,2024-03-07 14:51:08.307550,0.001
7,2024-03-07 14:51:08.307551,0.000
8,2024-03-07 14:51:08.307552,0.001
